config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-89,3,6,0,0.5,0.5,22357.781819203832,2793.9882042476393,[2 0 1 1 0 2],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-90,4,8,0,0.5,0.5,35069.13902493487,7111.468289821307,[1 0 3 0 0 3 1 3],[0 0 0 1 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-91,4,7,0,0.5,0.5,34227.30271559101,8177.566461007835,[2 0 1 1 0 3 0],[1 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-92,3,8,0,0.5,0.5,36718.57132222841,4868.859107645292,[1 0 1 0 0 2 0 2],[0 0 0 1 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-93,3,8,0,0.5,0.5,17251.471330179047,2273.7896021814868,[0 0 1 0 0 2 1 2],[0 0 0 1 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-94,3,6,0,0.5,0.5,16676.109515111748,3355.363557589529,[1 0 1 1 0 2],[0 0 0 0 0 1],"[True, True, False, True, True, True]"
config-95,3,8,0,0.5,0.5,27849.556210526913,4516.728616347836,[1 0 1 1 0 1 0 2],[0 0 0 1 0 1 0 0],"[True, True, False, True, True, True, True, True]"
config-96,3,6,0,0.5,0.5,16741.033117736286,1028.017371844443,[2 0 0 0 0 2],[0 0 0 0 0 1],"[True, True, False, True, True, True]"
config-97,3,8,0,0.5,0.5,29344.091004896734,6015.4962635779175,[1 0 0 0 0 1 0 2],[0 0 0 1 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-98,3,5,0,0.5,0.5,18616.891120632634,2023.6081028554268,[2 0 2 0 0],[0 0 0 0 0],"[True, True, False, True, True]"
config-99,4,7,0,0.5,0.5,22728.296392894605,3104.9758715425737,[1 0 2 0 0 3 1],[1 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-100,4,7,0,0.5,0.5,30772.530246822676,9473.502207854344,[2 0 1 1 0 3 0],[1 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
