config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,67,24,20,0.9,0.1,32580.104773184834,11348.45024270663,"[31, 21, 1, 40, 7, 4, 56, 26, 33, 23, 11, 24, 15, 55, 59, 65, 35, 37, 65, 6, 30, 20, 55, 59]","[0, 1, 2, 3, 0, 1, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 2, 3, 2, 0, 0, 1, 2, 3]"
config-1,67,24,50,0.1,0.9,30961.323998154967,10270.898177549501,"[41, 23, 11, 36, 37, 30, 59, 8, 11, 0, 28, 50, 45, 19, 47, 18, 56, 21, 49, 6, 44, 65, 0, 47]","[0, 1, 2, 3, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 2, 3, 4, 0, 1, 2, 3, 0, 1, 2]"
config-1,67,24,50,0.2,0.8,29495.003503640746,10359.4548812902,"[38, 60, 37, 36, 37, 37, 23, 65, 33, 3, 11, 24, 45, 39, 61, 57, 46, 59, 33, 6, 11, 50, 20, 65]","[0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 3, 4, 0, 2, 3, 4, 0, 1, 2, 0, 1, 2, 1]"
config-1,67,24,50,0.3,0.7,26926.505968569294,10533.86764412628,"[5, 61, 49, 40, 49, 44, 0, 14, 6, 3, 26, 21, 0, 66, 2, 20, 14, 16, 20, 33, 18, 28, 9, 47]","[0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2, 3, 0, 0, 1, 2, 3, 4, 0, 1, 1, 1, 2, 1]"
config-1,67,24,50,0.4,0.6,28943.284964610033,10565.458880018356,"[3, 11, 30, 8, 37, 22, 29, 66, 31, 6, 11, 61, 12, 43, 7, 36, 17, 25, 37, 26, 1, 54, 42, 49]","[0, 1, 2, 3, 4, 0, 0, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 3, 0, 1, 2, 1, 0, 0]"
config-1,67,24,50,0.5,0.5,29151.405440740706,10849.634367586592,"[31, 1, 38, 37, 65, 14, 12, 49, 5, 22, 25, 53, 48, 8, 17, 20, 65, 63, 16, 33, 56, 48, 6, 65]","[0, 1, 2, 3, 1, 0, 0, 0, 1, 2, 3, 4, 1, 0, 1, 2, 3, 1, 1, 2, 0, 1, 2, 3]"
config-1,67,24,50,0.6,0.4,28542.74142639879,10415.921320594412,"[27, 53, 40, 1, 20, 4, 15, 42, 32, 37, 15, 25, 45, 15, 24, 7, 39, 30, 20, 36, 41, 35, 16, 20]","[0, 1, 2, 3, 0, 1, 0, 1, 2, 1, 2, 4, 0, 1, 0, 2, 3, 4, 0, 0, 1, 2, 1, 2]"
config-1,67,24,50,0.7,0.3,28171.906890037153,10976.862407001334,"[36, 21, 19, 8, 49, 32, 6, 33, 6, 36, 21, 34, 48, 20, 14, 7, 52, 47, 7, 36, 19, 2, 42, 65]","[0, 1, 2, 0, 0, 2, 3, 4, 1, 2, 0, 1, 2, 0, 1, 2, 3, 0, 0, 0, 1, 2, 1, 2]"
config-1,67,24,50,0.8,0.2,28180.75233452208,10757.540151522617,"[3, 54, 54, 36, 36, 24, 23, 33, 49, 18, 24, 60, 6, 64, 12, 20, 64, 10, 49, 6, 60, 66, 35, 65]","[0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2]"
config-1,67,24,50,0.9,0.1,28741.804844523467,10578.50735377615,"[32, 25, 18, 33, 57, 6, 42, 49, 41, 14, 21, 27, 3, 41, 5, 29, 14, 20, 7, 14, 23, 4, 25, 65]","[0, 1, 2, 3, 4, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2, 3, 4, 1, 0, 0, 0, 1, 2]"
config-1,67,24,100,0.1,0.9,27931.72187074063,9783.18260341024,"[5, 21, 42, 14, 33, 4, 17, 19, 60, 6, 66, 4, 48, 58, 31, 64, 2, 30, 49, 8, 63, 2, 33, 60]","[0, 1, 2, 3, 4, 2, 0, 1, 2, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 3, 0, 0, 1, 2]"
config-1,67,24,100,0.2,0.8,28299.963202215058,10252.674559158233,"[31, 66, 54, 6, 14, 42, 2, 57, 19, 5, 59, 16, 0, 0, 61, 66, 8, 59, 19, 40, 5, 28, 18, 60]","[0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 4, 0, 0, 1, 2, 3, 4, 0, 1, 0, 0, 1, 2, 1]"
config-1,67,24,100,0.3,0.7,28136.005577674485,10244.381947616586,"[3, 58, 29, 48, 37, 34, 14, 7, 17, 40, 20, 50, 8, 55, 33, 29, 58, 30, 57, 19, 45, 4, 18, 47]","[0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 0, 3, 4, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 2]"
config-1,67,24,100,0.4,0.6,26928.87792160444,9968.809908649655,"[18, 30, 40, 48, 49, 41, 26, 14, 8, 6, 63, 62, 45, 46, 39, 64, 8, 65, 7, 33, 18, 2, 47, 60]","[0, 1, 2, 3, 0, 1, 2, 3, 0, 2, 0, 0, 1, 2, 0, 2, 3, 4, 0, 0, 1, 2, 1, 2]"
config-1,67,24,100,0.5,0.5,28218.323647983554,10347.972624812204,"[40, 10, 33, 37, 39, 42, 41, 65, 47, 18, 20, 11, 3, 65, 10, 64, 50, 43, 37, 6, 17, 25, 29, 7]","[0, 1, 2, 0, 0, 1, 2, 4, 0, 1, 2, 3, 0, 1, 2, 3, 4, 0, 0, 0, 1, 2, 1, 0]"
config-1,67,24,100,0.6,0.4,26688.32956238288,10036.722733998226,"[48, 65, 8, 1, 37, 31, 45, 20, 21, 36, 49, 34, 6, 48, 21, 2, 14, 20, 65, 45, 60, 28, 38, 60]","[0, 1, 2, 3, 0, 1, 0, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 3, 4, 1]"
config-1,67,24,100,0.7,0.3,27667.852581515785,11315.652415423268,"[44, 21, 49, 37, 65, 31, 59, 49, 48, 27, 61, 60, 40, 58, 19, 42, 49, 49, 37, 31, 3, 43, 24, 49]","[0, 1, 2, 3, 0, 0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 1, 2, 4, 0, 0, 1, 2, 3]"
config-1,67,24,100,0.8,0.2,28735.448772377476,10389.609540703297,"[31, 54, 10, 48, 49, 12, 26, 57, 29, 37, 13, 59, 45, 33, 51, 4, 43, 23, 65, 19, 52, 38, 11, 29]","[0, 1, 2, 3, 0, 1, 2, 3, 0, 2, 3, 0, 0, 0, 2, 3, 4, 0, 1, 2, 0, 1, 2, 1]"
config-1,67,24,100,0.9,0.1,24111.62625358985,10206.175034217504,"[48, 65, 58, 36, 49, 41, 6, 14, 45, 31, 43, 17, 3, 41, 20, 60, 49, 11, 49, 48, 8, 28, 20, 47]","[0, 1, 2, 3, 0, 1, 2, 0, 2, 0, 0, 1, 2, 3, 0, 1, 2, 3, 4, 0, 1, 2, 3, 1]"
config-1,67,24,200,0.1,0.9,27993.5360306797,9451.25208199271,"[3, 30, 11, 37, 57, 48, 22, 49, 65, 0, 21, 1, 5, 56, 19, 64, 56, 60, 65, 50, 10, 4, 2, 49]","[0, 1, 2, 3, 4, 0, 0, 0, 1, 2, 3, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2]"
config-1,67,24,200,0.2,0.8,26194.58895795616,9509.483492452999,"[31, 21, 59, 48, 57, 33, 42, 65, 66, 6, 23, 42, 45, 18, 15, 64, 17, 21, 65, 18, 5, 37, 10, 47]","[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 0, 2, 3, 4, 0, 0, 1, 2, 3, 0]"
config-1,67,24,200,0.3,0.7,25292.380639563857,9812.872622928224,"[31, 54, 21, 33, 49, 18, 56, 49, 25, 3, 60, 8, 45, 60, 24, 20, 62, 43, 57, 48, 57, 59, 16, 47]","[0, 1, 2, 3, 1, 2, 0, 1, 2, 3, 0, 1, 2, 3, 4, 0, 2, 3, 4, 0, 0, 1, 2, 3]"
config-1,67,24,200,0.4,0.6,24905.99911694755,9754.117077250115,"[3, 59, 43, 37, 20, 4, 1, 37, 32, 36, 66, 1, 48, 46, 65, 42, 61, 47, 65, 33, 42, 41, 58, 65]","[0, 1, 2, 3, 4, 0, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 3, 1, 2, 4, 1, 2, 0, 2]"
config-1,67,24,200,0.5,0.5,26778.734228056917,10105.622758277304,"[6, 43, 14, 48, 37, 42, 56, 65, 57, 0, 10, 20, 3, 41, 53, 29, 53, 11, 16, 45, 18, 11, 62, 20]","[0, 1, 2, 0, 1, 2, 3, 0, 1, 2, 4, 0, 1, 0, 1, 2, 3, 4, 1, 1, 0, 2, 3, 4]"
