config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,40,24,20,0.5,0.5,39145.60529892795,10941.429499055708,"[32, 24, 12, 14, 32, 9, 23, 1, 32, 32, 11, 19, 23, 6, 39, 1, 2, 32, 10, 31, 39, 26, 23, 24]","[0, 4, 0, 1, 4, 0, 4, 0, 4, 1, 2, 3, 1, 0, 4, 0, 1, 4, 4, 0, 4, 3, 4, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,20,0.6,0.4,38085.3256759048,13023.789326077173,"[31, 1, 39, 19, 24, 31, 1, 23, 34, 37, 39, 2, 12, 32, 26, 32, 19, 2, 23, 10, 32, 20, 11, 17]","[0, 0, 4, 3, 4, 0, 0, 4, 3, 0, 4, 1, 0, 1, 3, 4, 3, 1, 4, 3, 4, 0, 2, 2]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,20,0.7,0.3,36973.35854125133,14102.854113514974,"[23, 32, 12, 9, 24, 1, 39, 1, 12, 32, 23, 39, 27, 14, 0, 2, 23, 2, 12, 34, 1, 34, 26, 32]","[0, 4, 0, 0, 4, 0, 4, 0, 0, 1, 4, 4, 1, 1, 4, 1, 4, 1, 0, 0, 0, 3, 3, 4]","[True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,20,0.8,0.2,36828.33218180554,14623.541019943545,"[9, 24, 32, 1, 32, 21, 32, 12, 14, 37, 26, 1, 1, 31, 39, 2, 12, 11, 0, 32, 32, 26, 19, 32]","[0, 4, 4, 0, 4, 0, 4, 0, 1, 0, 3, 0, 0, 0, 4, 1, 0, 2, 4, 1, 4, 3, 3, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, False, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,20,0.9,0.1,36194.8981462497,19193.69283561469,"[36, 32, 19, 1, 1, 6, 26, 23, 23, 14, 32, 11, 37, 29, 19, 26, 2, 19, 0, 34, 32, 39, 26, 1]","[0, 4, 3, 0, 0, 0, 3, 4, 4, 1, 4, 2, 0, 0, 3, 3, 1, 3, 4, 0, 4, 4, 3, 0]","[True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,40,24,50,0.1,0.9,44471.715607426566,8974.19394369487,"[37, 10, 35, 4, 32, 0, 24, 14, 32, 9, 21, 28, 31, 14, 1, 12, 14, 13, 11, 33, 2, 33, 39, 34]","[0, 4, 3, 1, 4, 4, 4, 4, 4, 0, 1, 0, 0, 3, 0, 0, 4, 0, 2, 0, 1, 1, 4, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,50,0.2,0.8,42914.00488154521,9112.48684945045,"[27, 32, 12, 4, 14, 31, 14, 23, 33, 33, 21, 35, 32, 9, 2, 11, 24, 1, 34, 37, 10, 32, 39, 24]","[1, 4, 0, 1, 4, 0, 4, 4, 0, 1, 1, 3, 1, 0, 1, 2, 4, 0, 4, 0, 4, 4, 4, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,50,0.3,0.7,39977.43301727917,10016.118247483755,"[34, 11, 12, 4, 10, 14, 11, 23, 32, 33, 2, 1, 36, 32, 24, 19, 39, 32, 14, 26, 35, 31, 28, 1]","[0, 2, 0, 1, 4, 1, 2, 4, 4, 0, 1, 0, 0, 1, 4, 3, 4, 4, 4, 0, 3, 0, 0, 0]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,50,0.4,0.6,38854.514451332696,10552.175850877104,"[34, 11, 12, 31, 32, 14, 10, 23, 34, 1, 19, 35, 36, 32, 32, 39, 39, 1, 28, 33, 23, 26, 2, 24]","[0, 2, 0, 0, 4, 1, 4, 4, 3, 0, 3, 3, 0, 1, 4, 4, 4, 0, 0, 0, 4, 3, 1, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,50,0.5,0.5,38378.371017505415,11164.340032209757,"[26, 12, 10, 14, 23, 31, 39, 32, 34, 34, 11, 1, 27, 9, 24, 19, 1, 32, 14, 32, 26, 18, 2, 32]","[0, 0, 4, 1, 4, 0, 4, 4, 3, 0, 2, 0, 1, 0, 4, 3, 0, 4, 4, 1, 3, 0, 1, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
