config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,4,24,50,0.7,0.3,580648.411242104,816.6199132690372,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,50,0.8,0.2,580548.0191378382,806.7287835749491,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,50,0.9,0.1,580661.9853794095,817.1203401335775,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,100,0.1,0.9,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,100,0.2,0.8,580677.2215618409,819.2324643792017,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,100,0.3,0.7,580648.411242104,816.6199132690372,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,100,0.4,0.6,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,100,0.5,0.5,580642.0130746571,815.1771469495607,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,100,0.6,0.4,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,100,0.7,0.3,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
