config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-69,3,6,0,0.5,0.5,15924.011377594063,4959.688155990663,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-70,4,5,0,0.5,0.5,24635.14633950937,4535.050537267106,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
config-71,4,5,0,0.5,0.5,24700.346641435626,8181.241597697456,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
config-72,3,8,0,0.5,0.5,42129.42843297332,16206.163061633388,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-73,3,8,0,0.5,0.5,22705.8669840796,10908.980183645317,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-74,3,5,0,0.5,0.5,18453.048739841674,4665.389902770538,[1 1 0 0 1],[0 0 0 0 0],"[True, True, False, True, True]"
config-75,4,7,0,0.5,0.5,24073.84998833619,5054.380904275985,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-76,4,7,0,0.5,0.5,18729.970645887894,8579.55610541355,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-77,3,7,0,0.5,0.5,42200.74833741544,12194.934310344486,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-78,4,7,0,0.5,0.5,16563.857899445098,4998.626587202498,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-79,4,7,0,0.5,0.5,17376.461342778068,5986.173382287238,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-80,3,8,0,0.5,0.5,9405.905523489855,2828.6449705986633,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-81,4,7,0,0.5,0.5,15053.852946284784,4624.503370955525,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-82,4,5,0,0.5,0.5,16941.046544356683,5398.5621861277705,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
config-83,3,8,0,0.5,0.5,22692.632179991397,8263.523283566137,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-84,3,6,0,0.5,0.5,21661.749982852074,4411.1354915991415,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-85,4,8,0,0.5,0.5,25067.776966750032,10177.543297658684,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-86,4,6,0,0.5,0.5,6255.130457811749,1816.675442604304,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, True, True, True]"
config-87,4,8,0,0.5,0.5,12912.599879220606,3878.6278156514986,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-88,4,7,0,0.5,0.5,4916.005648795235,1413.6453303970156,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-89,3,6,0,0.5,0.5,11149.542473456495,2744.0866734003193,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, True, True, True]"
config-90,4,8,0,0.5,0.5,22658.22516042054,11563.367709829556,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-91,4,7,0,0.5,0.5,24071.43096535265,10185.642672763901,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-92,3,8,0,0.5,0.5,30618.734779159033,6187.060733566714,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-93,3,8,0,0.5,0.5,12338.960085614111,4101.080371622606,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-94,3,6,0,0.5,0.5,15030.877118720911,3725.433845939278,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-95,3,8,0,0.5,0.5,23524.969597304476,8775.246728921069,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-96,3,6,0,0.5,0.5,6521.481993765074,1374.0568542984263,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, True, True, True]"
config-97,3,8,0,0.5,0.5,28195.915840440437,9239.751639918106,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-98,3,5,0,0.5,0.5,10895.631504665083,2314.5265822991173,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-99,4,7,0,0.5,0.5,17329.702304005154,6525.571701431443,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-100,4,7,0,0.5,0.5,32081.559235706965,15372.609132812351,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
