config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-80,3,8,200,0.5,0.5,19846.842900662006,6409.530755659755,"[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, True, True, False, True, False, True]"
config-81,4,7,200,0.5,0.5,14805.086027424486,3155.1174090901723,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1]","[True, True, False, True, True, True, False]"
config-82,4,5,200,0.5,0.5,6962.933311355688,1803.2085711858863,"[1, 0, 0, 0, 1]","[0, 1, 1, 1, 0]","[True, True, True, True, True]"
config-83,3,8,200,0.5,0.5,11799.05407723778,6531.646331845315,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, False, True, True, True, False]"
config-84,3,6,200,0.5,0.5,23145.66009444453,3737.714333920381,"[0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[False, False, False, True, False, False]"
config-85,4,8,200,0.5,0.5,24518.695862492707,5405.813591667499,"[2, 0, 0, 0, 2, 2, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0]","[False, True, True, False, False, False, True, False]"
config-86,4,6,200,0.5,0.5,7121.469810378079,1853.3745817532429,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
config-87,4,8,200,0.5,0.5,14352.266343564745,4522.753889453917,"[1, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, False]"
config-88,4,7,200,0.5,0.5,10666.82475004383,2263.2644679586883,"[0, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[True, False, True, True, True, True, True]"
config-89,3,6,200,0.5,0.5,15211.346551647453,4361.752924522969,"[1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[False, True, True, False, False, False]"
config-90,4,8,200,0.5,0.5,18158.739436378844,5321.40952073699,"[1, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[True, False, True, True, True, True, True, True]"
